,yuv,framenos,content,ref
265,EXPA-510-1_res1080_mu5400_sigma300_rate5269_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
266,COVT-107_res2160_mu1000_sigma100_rate1021_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
267,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
268,CMDY-101-00h10m21s_res1080_mu1200_sigma100_rate1292_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
269,Wot_res1080_mu500_sigma100_rate514_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
270,COVT-107_res1080_mu5400_sigma300_rate5513_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
271,THBY-103_res720_mu1500_sigma300_rate1281_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
272,EplJuvVsRma-night2_res1080_mu500_sigma100_rate586_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
273,Disney_res2160_mu11200_sigma300_rate11453_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
274,CHMA-101_res2160_mu1000_sigma100_rate1126_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
275,BTFB-01h41m55s_res2160_mu3000_sigma300_rate2798_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
276,CHMA-302_res2160_mu11200_sigma300_rate11021_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
277,HERO-00h02m40s_res600_mu800_sigma50_rate831_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
278,CHEM_res1080_mu1200_sigma100_rate1197_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
279,AERO-00h13m10s_res1080_mu5400_sigma300_rate5419_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
280,COVT-110_res720_mu1500_sigma300_rate906_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
281,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOff.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
282,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
283,Wot-2_res720_mu1500_sigma100_rate1329_aqOff.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
284,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
285,CHEM_res2160_mu1000_sigma100_rate1012_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
286,CHMA-101_res600_mu800_sigma200_rate461_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
287,Disney_res600_mu800_sigma50_rate928_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
288,CHMA-101_res2160_mu3000_sigma300_rate3316_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
289,Disney-3_res720_mu1500_sigma300_rate2255_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
290,JKRY-108_res1080_mu5400_sigma300_rate5128_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
291,COVT-107_res720_mu1500_sigma300_rate1328_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
292,MOLV-102_res1080_mu1200_sigma100_rate1304_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
293,EXPA-504_res2160_mu3000_sigma300_rate2899_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
294,BTFB-01h41m55s_res2160_mu3000_sigma300_rate2798_aqOff.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
295,CHMA-302_res2160_mu1000_sigma100_rate974_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
296,HZLN_res2160_mu1000_sigma100_rate1047_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
297,HNNA-102_res2160_mu3000_sigma300_rate2873_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
298,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
299,THBY-103_res1080_mu5400_sigma300_rate5135_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
300,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
301,CHMA-101_res2160_mu11200_sigma300_rate10762_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
302,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
303,EXPA-504_res2160_mu1000_sigma100_rate1057_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
304,CHEM_res1080_mu500_sigma100_rate772_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
305,COVT-110_res1080_mu500_sigma100_rate578_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
306,Wot-2_res2160_mu3000_sigma300_rate3149_aqOff.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
307,CIND-00h13m44s_res600_mu800_sigma50_rate831_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
308,EplJuvVsRma-night1_res720_mu1500_sigma300_rate1235_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
309,EXPA-504_res1080_mu1200_sigma100_rate1064_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
310,HZLN_res1080_mu500_sigma100_rate391_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
311,Wot_res720_mu1500_sigma300_rate1136_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
312,Wot-2_res600_mu800_sigma50_rate824_aqOff.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
313,COVT-107_res2160_mu3000_sigma300_rate2669_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
314,EXPA-505_res1080_mu1200_sigma100_rate1130_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
315,BTFB-00h33m50s_res2160_mu11200_sigma300_rate11440_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
316,COVT-107_res1080_mu500_sigma100_rate588_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
317,HERO-00h02m40s_res2160_mu3000_sigma300_rate3089_aqOff.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
318,CHMA-402_res600_mu800_sigma200_rate557_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
319,EXPA-505_res2160_mu1000_sigma100_rate1114_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
320,HNNA-102_res1080_mu500_sigma100_rate449_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
321,7500-00h15m25s_res720_mu1500_sigma100_rate1511_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
322,Disney-3_res2160_mu3000_sigma300_rate3097_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
323,BTFB-01h12m33s_res2160_mu11200_sigma300_rate10924_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
324,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
325,BTFB-01h05m40s_res2160_mu3000_sigma300_rate3123_aqOff.yuv,189,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
326,EXPA-504_res2160_mu11200_sigma300_rate11055_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
327,MOLV-102_res1080_mu5400_sigma300_rate5504_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
328,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
329,AERO-00h13m10s_res600_mu800_sigma50_rate766_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
330,Disney_res720_mu1500_sigma100_rate1486_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
331,CMDY-101-00h10m21s_res1080_mu500_sigma100_rate514_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
332,EplLeyVsWre-day_res600_mu800_sigma200_rate835_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
333,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
334,CIND-00h13m44s_res2160_mu3000_sigma300_rate2750_aqOff.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
335,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
336,BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
337,Disney-3_res2160_mu1000_sigma100_rate819_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
338,COVT-110_res600_mu800_sigma200_rate1094_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
339,CIND-00h13m44s_res720_mu1500_sigma100_rate1568_aqOff.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
340,Disney_res1080_mu5400_sigma300_rate4925_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
341,HNNA-202_res720_mu1500_sigma300_rate1507_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
342,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
343,MSPY-2_res2160_mu11200_sigma300_rate11016_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
344,BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOff.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
345,EplLeyVsWre-day_res720_mu1500_sigma300_rate1565_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
346,HERO-00h01m57s_res2160_mu11200_sigma300_rate11363_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
347,MRSM-301_res1080_mu5400_sigma300_rate5519_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
348,JKRY-108_res720_mu1500_sigma300_rate1374_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
349,BTFB-01h05m40s_res1080_mu1200_sigma100_rate1172_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
350,AERO-00h13m10s_res2160_mu1000_sigma100_rate1006_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
351,CIND-00h13m44s_res2160_mu1000_sigma100_rate1011_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
352,Wot-2_res1080_mu1200_sigma100_rate1272_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
353,CHMA-402_res1080_mu500_sigma100_rate498_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
354,CHMA-313-2_res1080_mu500_sigma100_rate638_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
355,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
356,COVT-110_res2160_mu11200_sigma300_rate11920_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
357,BTFB-01h12m21s_res2160_mu3000_sigma300_rate3219_aqOff.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
358,BTFB-01h41m55s_res2160_mu1000_sigma100_rate1051_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
359,AERO-00h13m10s_res720_mu1500_sigma100_rate1573_aqOff.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
360,EplJuvVsRma-night3_res2160_mu1700_sigma0_rate1700_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
361,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
362,EplJuvVsRma-night1_res1080_mu5400_sigma300_rate5567_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
363,EplLeyVsWre-day_res1080_mu5400_sigma300_rate5841_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
364,CHEM_res1080_mu5400_sigma300_rate4943_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
365,BTFB-01h12m21s_res720_mu1500_sigma100_rate1624_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
366,EXPA-510-1_res1080_mu1200_sigma100_rate1196_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
367,EplLeyVsWre-day_res2160_mu11200_sigma300_rate11327_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
368,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOff.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
369,CHMA-302_res600_mu800_sigma200_rate1053_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
370,MOLV-102_res1080_mu500_sigma100_rate385_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
371,HERO-00h01m57s_res1080_mu5400_sigma300_rate5435_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
372,EXPA-504_res720_mu1500_sigma300_rate1819_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
373,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
374,CIND-00h13m44s_res600_mu800_sigma50_rate831_aqOff.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
375,BTFB-01h12m21s_res1080_mu500_sigma100_rate269_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
376,HZLN_res600_mu800_sigma200_rate667_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
377,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
378,MOLV-102_res2160_mu1000_sigma100_rate1035_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
379,BTFB-01h12m21s_res2160_mu1000_sigma100_rate922_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
380,BTFB-00h33m50s_res2160_mu1000_sigma100_rate1009_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
381,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
382,MSPY-2_res1080_mu500_sigma100_rate614_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
383,EplJuvVsRma-night1_res1080_mu500_sigma100_rate534_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
384,MSPY-2_res720_mu1500_sigma300_rate1778_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
385,CHMA-302_res2160_mu3000_sigma300_rate3401_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
386,CIND-00h13m44s_res2160_mu3000_sigma300_rate2750_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
387,CHEM_res600_mu800_sigma200_rate630_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
388,BTFB-01h12m21s_res1080_mu1200_sigma100_rate1238_aqOff.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
389,BTFB-01h41m55s_res1080_mu5400_sigma300_rate5685_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
390,CHMA-101_res1080_mu1200_sigma100_rate1219_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
391,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
392,BTFB-01h41m55s_res1080_mu1200_sigma100_rate1459_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
393,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOff.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
394,MRSM-301_res720_mu1500_sigma300_rate1542_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
395,CHMA-402_res720_mu1500_sigma300_rate1248_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
396,BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
397,MSPY-2_res600_mu800_sigma200_rate839_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
398,BTFB-01h12m33s_res1080_mu500_sigma100_rate541_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
399,HZLN_res2160_mu11200_sigma300_rate11150_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
